,Unnamed: 0,Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned,Screen_Full_HD,Screen_IPS_panel
0,0,Acer,4,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,low,False,True
1,1,Dell,3,1,1,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,634,low,True,False
2,2,Dell,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,946,low,True,False
3,3,Dell,4,2,1,5,13.299212598425196,0.5517241379310345,8,128,2.6901,1244,low,False,True
4,4,HP,4,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.21155,837,low,True,False
5,5,Dell,3,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1016,low,True,False
6,6,HP,3,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.6305000000000005,1117,low,True,False
7,7,Acer,3,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,low,False,True
8,8,Dell,3,1,1,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,812,low,True,False
9,9,Acer,3,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,low,False,True
10,10,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.69665,975,low,True,False
11,11,HP,3,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.21155,558,low,True,False
12,12,Asus,3,2,2,3,15.598425196850393,0.6896551724137931,4,256,4.41,527,low,True,False
13,13,Dell,4,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,low,True,False
14,14,Asus,3,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,low,True,False
15,15,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1013,876,low,True,False
16,16,Dell,4,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,low,False,True
17,17,Dell,3,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1105,low,True,False
18,18,Dell,4,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,low,False,True
19,19,HP,3,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,low,True,False
20,20,HP,4,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,low,False,True
21,21,HP,3,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.3218,761,low,True,False
22,22,Dell,4,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,medium,False,True
23,23,Dell,1,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.84325,1518,low,True,False
24,24,Asus,4,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,low,True,False
25,25,Dell,3,1,2,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,616,low,True,False
26,26,Asus,3,3,1,3,15.598425196850393,0.8275862068965517,6,256,4.41,733,low,True,False
27,27,HP,3,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.21155,913,low,True,False
28,28,HP,4,3,1,7,13.000000000000002,0.9310344827586208,8,256,3.0429,1421,low,False,True
29,29,HP,3,3,1,5,14.0,0.8620689655172414,6,256,4.106221030042918,837,low,False,True
30,30,Asus,4,3,1,7,14.0,0.9310344827586208,8,256,2.8665000000000003,1515,low,False,True
31,31,Lenovo,3,2,1,7,14.0,0.9310344827586208,8,256,3.4839,1880,medium,False,True
32,32,Dell,4,2,1,5,13.000000000000002,0.5517241379310345,8,256,2.66805,2069,medium,False,True
33,33,Asus,3,3,1,7,15.598425196850393,0.6206896551724138,8,256,3.7485,1420,low,True,False
34,34,HP,3,2,1,5,17.299212598425196,0.5517241379310345,8,256,5.5125,1179,low,True,False
35,35,Acer,4,2,1,7,14.0,0.6206896551724138,8,256,3.5280000000000005,1123,low,False,True
36,36,Acer,3,3,1,3,15.598425196850393,0.9310344827586208,4,256,4.851000000000001,727,low,True,False
37,37,HP,3,2,1,7,14.0,0.6206896551724138,8,256,3.59415,1255,low,True,False
38,38,HP,3,2,1,5,13.000000000000002,0.8620689655172414,4,256,4.106221030042918,888,low,False,True
39,39,Lenovo,3,1,1,5,14.0,0.5517241379310345,8,256,3.85875,1418,low,False,True
40,40,Asus,4,2,1,7,14.0,0.6206896551724138,8,256,2.75625,1396,low,True,False
41,41,HP,4,2,1,5,14.0,0.9310344827586208,4,256,3.2634,1374,low,True,False
